method,waiting_time_seconds,households
baseline,406.7,2
baseline,765.5,3
baseline,1102.1,2
baseline,1444.1,4
baseline,1766.5,4
baseline,2099.8,3
baseline,2440.5,3
baseline,2802.8,4
baseline,3130.9,4
baseline,3537.5,2
baseline,3897.3,4
baseline,4298.6,3
baseline,4693.400000000001,3
baseline,5225.700000000001,3
baseline,5598.700000000001,3
baseline,6032.1,1
baseline,6600.200000000001,1
baseline,7482.400000000001,15
baseline,7943.500000000001,4
baseline,8280.1,4
baseline,8771.4,1
baseline,9239.3,2
baseline,9956.5,3
baseline,10306.3,2
baseline,10679.5,4
baseline,11109.1,4
baseline,11730.9,2
baseline,12252.6,4
baseline,12659.4,1
baseline,13043.6,1
baseline,13527.7,1
baseline,14009.7,3
baseline,340.2,15
baseline,755.7,22
baseline,1262.8,20
baseline,1862.4,25
baseline,2600.1,1
baseline,3102.9,4
baseline,3490.3,3
baseline,4201.3,3
baseline,4585.3,2
baseline,5115.900000000001,1
baseline,5896.500000000001,4
baseline,329.3,39
baseline,448.3,1
baseline,1295.8,1
baseline,2045.1999999999998,1
baseline,3287.0,15
baseline,3868.5,10
baseline,4350.2,2
Variance,713.8,25
Variance,1299.8,20
Variance,2307.0,4
Variance,2643.6,4
Variance,3501.8999999999996,2
Variance,3860.7,3
Variance,4197.3,2
Variance,4561.7,4
Variance,4895.0,3
Variance,5235.7,3
Variance,5653.4,2
Variance,6114.5,3
Variance,6612.8,1
Variance,7180.900000000001,1
Variance,8021.1,1
Variance,8489.0,2
Variance,9230.5,2
Variance,9856.9,1
Variance,10241.1,1
Variance,10725.2,1
Variance,340.2,15
Variance,755.7,22
Variance,1736.6,15
Variance,2715.8,4
Variance,3189.7000000000003,3
Variance,3587.2000000000003,4
Variance,4134.8,4
Variance,4631.400000000001,2
Variance,5552.8,4
Variance,6089.1,1
Variance,6643.0,3
Variance,7354.0,3
Variance,7738.0,2
Variance,8268.6,1
Variance,329.3,39
Variance,1252.1,4
Variance,1790.8,3
Variance,2163.8,3
Variance,2673.1000000000004,4
Variance,3047.7000000000003,4
Variance,3375.8,4
Variance,3902.0,3
Variance,4489.6,3
Variance,5382.8,4
Variance,514.0,10
Variance,1063.3,15
Variance,1658.8,1
Variance,2506.3,1
Variance,3255.7000000000003,1
Variance,4580.200000000001,2
MAD,713.8,25
MAD,1478.1999999999998,2
MAD,1836.9999999999998,3
MAD,2173.6,2
MAD,2515.6,4
MAD,2838.0,4
MAD,3171.3,3
MAD,3512.0,3
MAD,3874.3,4
MAD,4202.400000000001,4
MAD,4609.000000000001,2
MAD,4968.800000000001,4
MAD,5370.100000000001,3
MAD,5764.9000000000015,3
MAD,6297.200000000002,3
MAD,6670.200000000002,3
MAD,7103.600000000001,1
MAD,7671.700000000002,1
MAD,8511.900000000001,1
MAD,8979.800000000001,2
MAD,9721.300000000001,2
MAD,10396.1,2
MAD,10986.9,1
MAD,11371.1,1
MAD,11855.2,1
MAD,340.2,15
MAD,755.7,22
MAD,1262.8,20
MAD,1794.5,4
MAD,2611.4,1
MAD,3114.2000000000003,4
MAD,3501.6000000000004,3
MAD,4212.6,3
MAD,4596.6,2
MAD,5127.200000000001,1
MAD,5907.800000000001,4
MAD,329.3,39
MAD,1648.1,15
MAD,2119.2999999999997,4
MAD,3005.2,4
MAD,3438.2,4
MAD,3838.5,3
MAD,4614.0,4
MAD,5549.3,3
MAD,514.0,10
MAD,1063.3,15
MAD,1658.8,1
MAD,2506.3,1
MAD,3255.7000000000003,1
MAD,4580.200000000001,2
